EMOTIONS,TRADUCTION
ABATTU1,downcast1
ACCUEILLANT1,welcoming1
ACCUEILLANT2,welcoming2
AIMANT1,loving1
ANXIETE1,anxiety1
APAISANT1,calming1
ATTENTIF1,attentive1
ATTENTIF2,attentive2
CELEBRANT1,success1
CELEBRANT2,success2
COMPREHENSION1,understanding1
COMPREHENSION2,understanding2
CONFUS1,confused1
CURIEUX1,curious1
DANSE1,dance1
DANSE2,dance2
DANSE3,dance3
DEGAGE1,go_away1
DEGOUTE1,disgusted1
DODO1,sleep1
ECOUTE1,listening1
ECOUTE2,listening2
EMERVEILLE1,amazed1
ENERVE1,irritated1
ENERVE2,irritated2
ENJOUE1,cheerful1
ENNUI1,boredom1
ENNUI2,boredom2
ENTHOUSIASTE1,enthusiastic1
ENTHOUSIASTE2,enthusiastic2
EXTENUE1,exhausted1
FATIGUE1,tired1
FIER1,proud1
FIER2,proud2
FIER3,proud3
FRUSTRE1,frustrated1
FURIEUX1,furious1
GENE1,uncomfortable1
IMPATIENT1,impatient1
IMPATIENT2,impatient2
INCERTAIN1,uncertain1
INCOMPREHENSIF1,incomprehensible2
INCOMPREHENSIF2,incomprehensible2
INDIFFERENT1,indifferent1
INTERROGATIF1,inquiring1
INTERROGATIF2,inquiring2
INTERROGATIF3,inquiring3
MACARENA1,macarena1
MECONTENT1,displeased1
MECONTENT2,displeased2
MEPRIS1,contempt1
MIME1,mime1
NON,no1
NON_EXCITE1,no_excited1
NON_TRISTE1,no_sad1
OUI1,yes1
OUI_EXCITE1,yes_excited1
OUI_TRISTE1,yes_sad1
OUPS1,oops1
OUPS2,oops2
PATIENT1,patient1
PENSEUR1,thoughtful1
PENSEUR2,thoughtful2
PERDU1,lost1
PEUR1,fear1
PEUR2,scared1
RAGE1,rage1
RECONNAISSANT1,grateful1
REPRIMANDE1,reprimand1
REPRIMANDE2,reprimand2
REPRIMANDE3,reprimand3
RESIGNE1,resigned1
RIEUR1,laughing1
RIEUR2,laughing2
SERENITE1,serenity1
SERVIABLE1,helpful1
SERVIABLE2,helpful2
SOLITAIRE1,lonely1
SOULAGEMENT1,relief1
SOULAGEMENT2,relief2
SURPRIS1,surprised1
SURPRIS2,surprised2
TIMIDE1,shy1
TRISTE1,sad1
TRISTE2,sad2
VIENS1,come1
